Date,Open,High,Low,Close,Adj Close,Volume
2020-04-23,2298.0,2299.0,2248.0,2278.0,2196.794921875,572196
2020-04-24,2270.0,2322.0,2251.0,2308.0,2225.7255859375,482255
2020-04-27,2321.0,2351.302978515625,2285.0,2286.0,2204.510009765625,405464
2020-04-28,2285.0,2371.0,2285.0,2333.0,2249.834228515625,1365699
2020-04-29,2328.0,2375.736083984375,2316.0,2330.0,2246.941162109375,1076631
2020-04-30,2348.0,2376.0,2325.0,2330.0,2246.941162109375,840836
2020-05-01,2298.0,2352.0,2283.0,2314.0,2231.51171875,360081
2020-05-04,2348.0,2367.0,2294.0,2367.0,2282.622314453125,501146
2020-05-05,2372.0,2440.0,2372.0,2440.0,2353.020263671875,2118863
2020-05-06,2441.0,2508.0,2441.0,2508.0,2418.59619140625,928014
2020-05-07,2475.0,2475.0,2398.0,2415.0,2382.3916015625,924761
2020-05-11,2411.0,2450.0,2394.0,2424.0,2391.27001953125,1187824
2020-05-12,2425.0,2466.0,2397.0,2419.0,2386.337646484375,524964
2020-05-13,2396.0,2418.0,2377.0,2410.0,2377.459228515625,970291
2020-05-14,2395.0,2409.10009765625,2267.0,2269.0,2238.363037109375,676045
2020-05-15,2260.0,2310.0,2257.0,2287.0,2256.119873046875,697553
2020-05-18,2288.0,2318.0,2267.0,2290.0,2259.079345703125,474953
2020-05-19,2321.0,2335.0,2285.0,2287.0,2256.119873046875,363161
2020-05-20,2272.0,2283.0,2248.0,2281.0,2250.200927734375,499930
2020-05-21,2267.0,2306.0,2253.0,2296.0,2264.99853515625,563656
2020-05-22,2281.0,2293.0,2252.0,2286.0,2255.133544921875,443179
2020-05-26,2319.0,2332.0,2283.0,2325.0,2293.60693359375,773584
2020-05-27,2346.0,2363.0,2320.0,2361.0,2329.120849609375,708125
2020-05-28,2406.0,2406.0,2353.0,2376.0,2343.918212890625,558229
2020-05-29,2347.0,2395.0,2286.0,2333.0,2301.498779296875,1236123
2020-06-01,2334.0,2353.0,2282.0,2296.0,2264.99853515625,593951
2020-06-02,2304.0,2317.0,2262.0,2294.0,2263.025390625,531599
2020-06-03,2310.0,2331.0,2259.0,2331.0,2299.52587890625,728802
2020-06-04,2317.0,2357.0,2311.0,2325.0,2293.60693359375,1147999
2020-06-05,2333.0,2335.0,2277.0,2320.0,2288.67431640625,749992
2020-06-08,2318.0,2319.0,2285.0,2314.0,2282.75537109375,566663
2020-06-09,2303.0,2310.0,2254.0,2265.0,2234.4169921875,804935
2020-06-10,2259.0,2309.0,2259.0,2309.0,2277.822998046875,773037
2020-06-11,2281.0,2321.0,2274.0,2274.0,2243.29541015625,474498
2020-06-12,2256.0,2264.0,2210.0,2263.0,2232.444091796875,604743
2020-06-15,2220.0,2307.0,2246.010009765625,2277.0,2246.2548828125,689304
2020-06-16,2238.0,2288.0,2233.0,2283.0,2252.174072265625,577527
2020-06-17,2285.0,2334.0,2276.0,2308.0,2276.83642578125,496191
2020-06-18,2310.0,2312.0,2291.0,2312.0,2280.782470703125,398750
2020-06-19,2312.0,2338.0,2312.0,2319.0,2287.68798828125,1410503
2020-06-22,2316.0,2385.0,2306.0,2329.0,2297.552978515625,571086
2020-06-23,2343.0,2345.0,2311.0,2331.0,2299.52587890625,464990
2020-06-24,2315.0,2334.0,2305.0,2305.0,2273.876953125,770203
2020-06-25,2307.0,2323.0,2272.0,2304.0,2272.890380859375,481847
2020-06-26,2328.0,2357.0,2310.0,2313.0,2281.768798828125,360355
2020-06-29,2297.0,2316.0,2280.0,2300.0,2268.9443359375,534987
2020-06-30,2304.0,2328.10400390625,2289.0,2299.0,2267.9580078125,509670
2020-07-01,2310.0,2315.0,2267.0,2293.0,2262.0390625,559930
2020-07-02,2324.0,2332.0,2299.0,2321.0,2289.660888671875,259709
2020-07-03,2337.0,2337.0,2271.0,2278.0,2247.241455078125,241033
2020-07-06,2311.0,2311.0,2261.0,2285.0,2254.14697265625,636361
2020-07-07,2269.0,2287.0,2258.0,2265.0,2234.4169921875,380465
2020-07-08,2257.0,2275.0,2246.0,2259.0,2228.498046875,387633
2020-07-09,2298.0,2298.0,2234.0,2240.0,2209.754638671875,471016
2020-07-10,2238.0,2299.0,2238.0,2286.0,2255.133544921875,471694
2020-07-13,2302.0,2305.0,2282.989990234375,2286.0,2255.133544921875,395133
2020-07-14,2270.0,2333.0,2264.0,2333.0,2301.498779296875,491839
2020-07-15,2361.0,2371.0,2329.56005859375,2349.0,2317.28271484375,404343
2020-07-16,2350.0,2376.0,2331.0,2376.0,2343.918212890625,431834
