Date,Open,High,Low,Close,Adj Close,Volume
2020-04-23,1300.0,1356.5,1281.593994140625,1347.0,1347.0,3403318
2020-04-24,1334.0,1337.18505859375,1266.5,1266.5,1266.5,5006517
2020-04-27,1280.0,1339.0,1278.0,1339.0,1339.0,3746591
2020-04-28,1331.5,1354.0,1323.0,1341.5,1341.5,4746066
2020-04-29,1343.5,1426.5,1318.0,1418.5,1418.5,3801979
2020-04-30,1434.0,1454.0,1334.0,1336.0,1336.0,4595910
2020-05-01,1318.0,1328.5,1263.0,1271.0,1271.0,2549258
2020-05-04,1263.0,1298.0,1227.5,1250.5,1250.5,4267511
2020-05-05,1261.5,1330.5,1261.5,1304.5,1304.5,6416395
2020-05-06,1298.0,1324.0,1271.0,1304.0,1304.0,4321636
2020-05-07,1310.0,1313.5,1268.5,1287.0,1287.0,3526345
2020-05-11,1306.5,1315.5,1249.9749755859375,1270.0,1270.0,4527041
2020-05-12,1235.5,1259.5,1217.0,1248.0,1248.0,5985098
2020-05-13,1236.5,1244.0,1145.0,1146.0,1146.0,6395197
2020-05-14,1129.0,1129.0,1076.5,1106.5,1106.5,7052747
2020-05-15,1121.5,1143.5,1090.0,1090.0,1090.0,7793683
2020-05-18,1105.0,1154.0,1098.5,1153.5,1153.5,5746362
2020-05-19,1120.0,1146.0,1023.552978515625,1114.0,1114.0,16227655
2020-05-20,1100.0,1187.5,1050.0,1141.5,1141.5,32372828
2020-05-21,1130.5,1152.947998046875,1103.0,1135.5,1135.5,13492204
2020-05-22,1142.5,1182.0,1121.5,1149.5,1149.5,11471117
2020-05-26,1183.5,1224.0,1170.0,1202.5,1202.5,28389335
2020-05-27,1212.5,1304.0,1078.0,1248.5,1248.5,8346424
2020-05-28,1253.5,1376.5,1120.5,1279.5,1279.5,6578631
2020-05-29,1255.0,1260.0,1180.0,1184.0,1184.0,19983638
2020-06-01,1198.5,1223.5,1180.0,1196.0,1196.0,3827790
2020-06-02,1215.0,1261.5,1196.5,1249.0,1249.0,4768540
2020-06-03,1262.0,1290.0,1243.0,1279.5,1279.5,5975836
2020-06-04,1271.5,1300.947998046875,1253.5,1288.0,1288.0,7537092
2020-06-05,1292.5,1336.0,1284.0,1336.0,1336.0,5060399
2020-06-08,1316.5,1326.0,1237.5849609375,1300.5,1300.5,5929461
2020-06-09,1300.0,1311.0,1262.5,1265.0,1265.0,9230093
2020-06-10,1265.0,1288.5,1218.0,1233.0,1233.0,5121943
2020-06-11,1201.5,1211.0,1161.0,1161.0,1161.0,5525369
2020-06-12,1150.0,1188.947998046875,1126.0,1150.0,1150.0,4584138
2020-06-15,1128.5,1280.7099609375,1092.5,1110.0,1110.0,8340605
2020-06-16,1144.0,1180.0,1127.5,1139.5,1139.5,6742016
2020-06-17,1130.0,1144.5,1104.0,1121.0,1121.0,11628761
2020-06-18,1090.0,1144.0,1083.0,1144.0,1144.0,5212764
2020-06-19,1152.5,1188.5,1139.5,1179.0,1179.0,10044632
2020-06-22,1166.0,1183.5,1144.5,1175.0,1175.0,8581721
2020-06-23,1184.0,1200.5,1169.0,1177.0,1177.0,5276083
2020-06-24,1179.0,1180.0,1104.0,1113.0,1113.0,11407380
2020-06-25,1099.5,1119.5,1051.0,1074.0,1074.0,7993407
