Date,Open,High,Low,Close,Adj Close,Volume
2020-04-23,3460.0,3513.5,3382.0,3491.0,3491.0,543044
2020-04-24,3458.0,3470.0,3350.0,3362.0,3362.0,712035
2020-04-27,3449.0,3605.0,3434.0,3601.0,3601.0,713802
2020-04-28,3629.0,3691.0,3522.0,3627.0,3627.0,590687
2020-04-29,3680.0,3979.0,3622.0,3967.0,3967.0,993164
2020-04-30,3990.0,4040.0,3587.0,3608.0,3608.0,1118766
2020-05-01,3562.0,3613.18798828125,3431.071044921875,3543.0,3543.0,369009
2020-05-04,3514.0,3539.0,3220.0,3394.0,3394.0,722581
2020-05-05,3453.0,3554.0,3419.0,3537.0,3537.0,885063
2020-05-06,3491.0,3525.0,3419.75,3432.0,3432.0,1002851
2020-05-07,3505.0,3616.0,3400.0,3594.0,3594.0,1171295
2020-05-11,3681.0,3722.875,3445.0,3522.0,3522.0,664343
2020-05-12,3504.0,3548.0,3423.0,3450.0,3450.0,768922
2020-05-13,3347.0,3379.0,3142.0,3152.0,3152.0,1114990
2020-05-14,3092.0,3190.0,2989.0,3158.0,3158.0,1218034
2020-05-15,3200.0,3336.0,3135.0,3237.0,3237.0,858209
2020-05-18,3306.0,3568.0,3279.0,3568.0,3568.0,898663
2020-05-19,3600.0,3669.0,3524.0,3660.0,3660.0,1162414
2020-05-20,3611.0,3665.0,3488.0,3596.0,3596.0,763115
2020-05-21,3561.0,3663.0,3435.0,3554.0,3554.0,1006539
2020-05-22,3521.0,3699.0,3445.0,3647.0,3647.0,710144
2020-05-26,3910.0,4210.0,3903.0,3985.0,3985.0,1554386
2020-05-27,4045.0,4290.0,4028.0,4094.0,4094.0,1102934
2020-05-28,4151.0,4300.0,4050.0,4068.0,4068.0,1085229
2020-05-29,4000.0,4018.0,3823.0,3871.0,3871.0,1127740
2020-06-01,3880.0,3991.2548828125,3812.0,3958.0,3958.0,507238
2020-06-02,4031.0,4254.0,3954.0,4029.0,4029.0,807131
2020-06-03,4116.0,4211.0,4026.0,4200.0,4200.0,1333936
2020-06-04,4143.0,4213.0,4001.0,4106.0,4106.0,829397
2020-06-05,4184.0,4340.0,4157.0,4314.0,4314.0,845396
2020-06-08,4274.0,4410.0,4222.7880859375,4316.0,4316.0,1129904
2020-06-09,4336.0,4336.0,4150.0,4180.0,4180.0,793631
2020-06-10,4188.0,4344.0,3983.0,4057.0,4057.0,925372
2020-06-11,3930.0,3967.0,3772.0,3787.0,3787.0,780476
2020-06-12,3745.0,4012.0,3702.0,3852.0,3852.0,593934
2020-06-15,3730.0,4195.7998046875,3680.0,3816.0,3816.0,386696
2020-06-16,3990.0,4046.0,3843.0,3919.0,3919.0,583101
2020-06-17,3919.0,4015.9189453125,3845.0,3919.0,3919.0,506299
2020-06-18,3876.0,4015.0,3826.0,3979.0,3979.0,666968
2020-06-19,4023.0,4064.0,3966.135009765625,3995.0,3995.0,929860
2020-06-22,3925.0,3976.0,3834.0,3863.0,3863.0,897435
2020-06-23,3904.0,3996.0,3806.0,3833.0,3833.0,771129
2020-06-24,3832.0,3922.0,3647.0,3647.0,3647.0,1686843
2020-06-25,3516.0,3618.0,3484.0,3561.0,3561.0,573675
2020-06-26,3646.0,3715.0,3594.0,3626.0,3626.0,494282
2020-06-29,3587.0,3688.0,3550.14990234375,3646.0,3646.0,629108
2020-06-30,3678.0,3678.0,3493.0,3567.0,3567.0,1290549
2020-07-01,3579.0,3683.0,3475.0,3643.0,3643.0,1239286
2020-07-02,3688.0,3820.0,3646.0,3715.0,3715.0,962405
2020-07-03,3701.0,3772.0,3653.0,3712.0,3712.0,742906
2020-07-06,3769.0,3861.0,3768.0,3830.0,3830.0,766587
2020-07-07,3820.0,3854.0,3773.034912109375,3821.0,3821.0,1546021
2020-07-08,3794.0,3957.212890625,3775.0,3811.0,3811.0,1466033
2020-07-09,3852.0,3871.0,3720.0,3720.0,3720.0,1205361
2020-07-10,3681.0,3778.0,3668.0,3774.0,3774.0,863175
2020-07-13,3846.0,3933.0,3843.0,3885.0,3885.0,623803
2020-07-14,3806.0,3838.0,3710.0,3774.0,3774.0,662697
2020-07-15,3812.0,4006.0,3809.0,3964.0,3964.0,966738
2020-07-16,3962.0,4066.0,3925.0,3925.0,3925.0,779689
2020-07-17,3948.0,3952.0,3837.0,3878.0,3878.0,404783
2020-07-20,3820.0,3893.0,3731.0,3789.0,3789.0,626078
2020-07-21,3802.0,3900.0,3785.0,3890.0,3890.0,949376
2020-07-22,3891.0,3926.0,3835.0,3847.0,3847.0,475470
2020-07-23,3865.0,3875.0,3770.0,3786.0,3786.0,345068
2020-07-24,3742.0,3831.0,3707.0,3768.0,3768.0,354368
2020-07-27,3758.0,3764.0,3610.0,3619.0,3619.0,379332
2020-07-28,3617.0,3668.0,3603.0,3668.0,3668.0,279060
2020-07-29,3660.0,3680.136962890625,3612.0,3634.0,3634.0,337427
2020-07-30,3644.0,3665.0,3534.0,3595.0,3595.0,405455
2020-07-31,3621.0,3645.0,3516.0,3516.0,3516.0,569540
2020-08-03,3541.0,3625.0,3445.0,3612.0,3612.0,385288
2020-08-04,3626.0,3714.0,3579.0,3709.0,3709.0,731444
2020-08-05,3724.0,3854.0,3669.0,3844.0,3844.0,517074
2020-08-06,3830.0,3885.0,3783.0,3848.0,3848.0,362566
2020-08-07,3881.0,3919.0,3859.0,3911.0,3911.0,527483
2020-08-10,3941.0,4019.0,3910.39990234375,4001.0,4001.0,664196
2020-08-11,3925.0,4299.0,3925.0,4193.0,4193.0,828750
2020-08-12,4203.0,4270.0,4124.0,4181.0,4181.0,687949
2020-08-13,4181.0,4264.0,4145.0,4226.0,4226.0,582367
2020-08-14,4275.0,4275.0,4056.0,4148.0,4148.0,578546
2020-08-17,4089.0,4172.0,4016.0,4048.0,4048.0,2255303
2020-08-18,4030.0,4067.0,3898.0,3939.0,3939.0,775006
2020-08-19,3943.0,3996.0,3902.0,3996.0,3996.0,322210
2020-08-20,4070.0,4120.0,3985.0,4030.0,4030.0,909610
2020-08-21,4050.0,4302.0,4029.0,4280.0,4280.0,1395720
2020-08-24,4300.0,4332.96484375,4052.409912109375,4303.0,4303.0,694291
2020-08-25,4348.0,4478.0,4317.0,4448.0,4448.0,1047365
2020-08-26,4437.0,4543.0,4360.0,4377.0,4377.0,1128759
2020-08-27,4365.0,4476.0,4337.0,4430.0,4430.0,492869
2020-08-28,4430.0,4468.0,4386.0,4406.0,4406.0,656408
2020-09-01,4382.0,4400.0,4252.0,4377.0,4377.0,2084145
2020-09-02,4391.0,4523.0,4338.0,4455.0,4455.0,455657
2020-09-03,4485.0,4609.0,4411.0,4452.0,4452.0,649095
2020-09-04,4386.0,4543.0,4371.0,4427.0,4427.0,661399
2020-09-07,4473.0,4520.0,4451.0,4484.0,4484.0,203395
2020-09-08,4525.0,4550.0,4369.0,4477.0,4477.0,1031579
2020-09-09,4441.0,4458.06884765625,4318.0,4356.0,4356.0,1286613
2020-09-10,4368.0,4486.0,4351.0,4419.0,4419.0,667139
2020-09-11,4375.0,4429.0,4313.0,4363.0,4363.0,324365
2020-09-14,4416.0,4422.0,4325.0,4422.0,4422.0,470837
2020-09-15,4455.0,4505.0,4399.0,4429.0,4429.0,466178
2020-09-16,4412.0,4412.0,4333.0,4389.0,4389.0,572555
2020-09-17,4344.0,4392.0,4302.0,4331.0,4331.0,596931
2020-09-18,4298.0,4300.0,4052.0,4137.0,4137.0,1274221
2020-09-21,4036.0,4090.0,3900.528076171875,3940.0,3940.0,566981
2020-09-22,3974.0,3975.0,3880.0,3906.0,3906.0,507692
2020-09-23,3997.0,4075.0,3908.5,4001.0,4001.0,723480
2020-09-24,3963.0,4021.0,3900.0,3968.0,3968.0,865889
2020-09-25,4000.0,4000.0,3820.0,3932.0,3932.0,732784
2020-09-28,3986.0,4140.0,3960.0,4140.0,4140.0,714348
2020-09-29,4107.0,4152.0,3178.27197265625,4102.0,4102.0,1229961
2020-09-30,4043.0,4130.0,3989.0,4094.0,4094.0,622021
2020-10-01,4051.0,4082.0,3939.0,3980.0,3980.0,1130191
2020-10-02,3916.0,4015.0,3863.0,4002.0,4002.0,549524
2020-10-05,4054.0,4139.0,4028.0,4078.0,4078.0,519910
2020-10-06,4097.0,4323.0,4066.241943359375,4307.0,4307.0,1894436
2020-10-07,4281.0,4415.0,4257.0,4352.0,4352.0,389453
2020-10-08,4400.0,4411.0,4260.0,4281.0,4281.0,430906
2020-10-09,4301.0,4361.0,4301.0,4339.0,4339.0,1505988
2020-10-12,4339.0,4342.0,4251.0,4277.0,4277.0,291976
2020-10-13,4242.0,4262.0,4172.0,4261.0,4261.0,370761
2020-10-14,4302.0,4302.0,4160.0,4229.0,4229.0,584675
2020-10-15,4165.0,4165.0,4063.0,4098.0,4098.0,591353
2020-10-16,4143.0,4209.0,4108.0,4174.0,4174.0,554124
2020-10-19,4127.0,4195.0,4092.0,4180.0,4180.0,500852
2020-10-20,4150.0,4340.0,4145.0,4330.0,4330.0,676391
2020-10-21,4356.0,4356.0,4225.0,4236.0,4236.0,986820
2020-10-22,4206.0,4278.0,4120.0,4263.0,4263.0,846228
2020-10-23,4250.0,4309.0,4148.0,4201.0,4201.0,957395
