Date,Open,High,Low,Close,Adj Close,Volume
2020-04-23,4599.0,4651.0,4488.0,4595.0,4595.0,465574
2020-04-24,4503.0,4609.0,4443.0,4482.0,4482.0,717836
2020-04-27,4597.0,4720.0,4533.0,4705.0,4705.0,725509
2020-04-28,4691.0,4872.0,4677.0,4786.0,4786.0,758542
2020-04-29,4605.0,5000.0,4393.2529296875,4975.0,4975.0,692286
2020-04-30,4826.0,5060.0,4702.48876953125,4726.0,4726.0,1061144
2020-05-01,4674.0,4779.0,4622.0,4762.0,4762.0,247121
2020-05-04,4734.0,4768.0,4603.0,4752.0,4752.0,543616
2020-05-05,4838.0,4841.0,4571.0,4595.0,4595.0,615670
2020-05-06,4566.0,4721.0,4550.0,4643.0,4643.0,593310
2020-05-07,4563.0,4882.0,4563.0,4882.0,4882.0,768724
2020-05-11,4836.0,4969.0,4750.0,4796.0,4796.0,554090
2020-05-12,4768.0,4867.0,4500.0,4784.0,4784.0,642045
2020-05-13,4703.0,4761.0,4568.0,4589.0,4589.0,505604
2020-05-14,4536.0,4685.0,4477.6728515625,4572.0,4572.0,1263094
2020-05-15,4580.0,4700.0,4370.14599609375,4422.0,4422.0,578261
2020-05-18,4494.0,4604.0,4460.0,4599.0,4599.0,710057
2020-05-19,4666.0,4735.0,4384.0,4478.0,4478.0,817047
2020-05-20,4450.0,4512.0,4348.0,4512.0,4512.0,603956
2020-05-21,4498.0,4666.0,4458.35107421875,4637.0,4637.0,599125
2020-05-22,4590.0,4728.0,4562.0,4583.0,4583.0,439665
2020-05-26,4769.0,4947.0,4702.0,4824.0,4824.0,473341
2020-05-27,4847.0,5011.9619140625,4807.0,4891.0,4891.0,821865
2020-05-28,4949.0,5128.0,4892.0,5082.0,5082.0,523410
2020-05-29,5028.0,5048.0,4840.0,4864.0,4864.0,1171446
2020-06-01,4885.0,5162.0,4867.0,5122.0,5122.0,425063
2020-06-02,5178.0,5440.0,5142.0,5402.0,5402.0,1462108
2020-06-03,5502.0,5564.0,5376.0,5528.0,5528.0,611121
2020-06-04,5474.0,5514.0,5377.166015625,5400.0,5400.0,390176
2020-06-05,5454.0,5586.0,5392.0,5480.0,5480.0,469887
2020-06-08,5438.0,5712.0,5368.0,5602.0,5602.0,394590
2020-06-09,5590.0,5600.0,5320.0,5346.0,5346.0,390342
2020-06-10,5390.0,5556.0,5198.2099609375,5238.0,5238.0,503578
2020-06-11,5072.0,5131.580078125,4926.0,4926.0,4926.0,608250
2020-06-12,4891.0,5126.78076171875,4803.0,5028.0,5028.0,316900
2020-06-15,4917.0,5406.259765625,4903.81982421875,5012.0,5012.0,338494
2020-06-16,5142.0,5250.0,5100.0,5198.0,5198.0,336107
2020-06-17,5276.0,5350.0,5188.0,5284.0,5284.0,492441
2020-06-18,5254.0,5278.0,5078.0,5194.0,5194.0,448584
2020-06-19,5248.0,5310.0,5165.96923828125,5242.0,5242.0,790011
2020-06-22,5180.0,5302.0,5160.0,5184.0,5184.0,365683
2020-06-23,5234.0,5298.0,5154.0,5198.0,5198.0,421599
2020-06-24,5006.0,5160.0,4857.0,4900.0,4900.0,576816
2020-06-25,4847.0,4870.0,4710.0,4822.0,4822.0,275503
2020-06-26,4853.0,4870.7900390625,4704.0,4800.0,4800.0,417766
2020-06-29,4751.0,4923.0,4751.0,4886.0,4886.0,500130
2020-06-30,4857.0,4922.0,4836.0,4894.0,4894.0,500256
2020-07-01,4881.0,4939.0,4753.0,4858.0,4858.0,331328
2020-07-02,4910.0,5052.0,4890.01806640625,5030.0,5030.0,276298
2020-07-03,4960.0,5004.0,4798.0,4798.0,4798.0,260665
2020-07-06,4889.0,5052.0,4850.0,4850.0,4850.0,375189
2020-07-07,4855.0,4900.0,4745.0,4775.0,4775.0,448089
2020-07-08,4695.0,4771.0,4646.0,4673.0,4673.0,564660
2020-07-09,4762.0,4900.0,4683.0,4700.0,4700.0,330610
2020-07-10,4692.0,4717.0,4640.0,4717.0,4717.0,321787
2020-07-13,4721.0,4816.0,4703.0,4800.0,4800.0,228357
2020-07-14,4772.0,4803.0,4705.0,4738.0,4738.0,233757
2020-07-15,4824.0,5044.0,4788.34423828125,5004.0,5004.0,646569
2020-07-16,4978.0,5080.0,4876.0,5074.0,5074.0,618795
2020-07-17,5058.0,5078.0,4982.0,5030.0,5030.0,315486
2020-07-20,4976.0,5076.0,4959.0,5042.0,5042.0,210480
2020-07-21,5118.0,5150.0,5000.0,5028.0,5028.0,409210
2020-07-22,5006.0,5096.0,4989.0,5078.0,5078.0,341925
