Date,Open,High,Low,Close,Adj Close,Volume
2020-04-23,8760.0,8912.0,8686.0,8908.0,8819.6259765625,119076
2020-04-24,8888.0,8888.0,8614.0,8614.0,8528.54296875,115764
2020-04-27,8700.0,8798.0,8684.0,8742.0,8655.2734375,93257
2020-04-28,8664.0,8854.0,8538.0,8784.0,8696.8564453125,116022
2020-04-29,8724.0,9014.0,8724.0,8884.0,8795.8642578125,179949
2020-04-30,8952.0,9060.0,8720.0,8728.0,8641.412109375,242696
2020-05-01,8650.0,8814.0,8504.0,8546.0,8461.216796875,100452
2020-05-04,8600.0,8722.0,8480.0,8650.0,8564.185546875,136666
2020-05-05,8820.0,8988.0,8656.0,8914.0,8825.56640625,168951
2020-05-06,8980.0,9146.0,8878.4248046875,9092.0,9001.7998046875,163993
2020-05-07,9134.0,9372.0,9106.0,9370.0,9277.04296875,188193
2020-05-11,9462.0,9479.775390625,9192.0,9274.0,9181.9951171875,214192
2020-05-12,9210.0,9378.0,9172.0,9262.0,9170.1142578125,146278
2020-05-13,9154.0,9694.0,9150.6748046875,9466.0,9372.0908203125,379268
2020-05-14,9242.0,9384.0,8836.0,8836.0,8748.3408203125,296365
2020-05-15,8850.0,9166.0,8822.0,9128.0,9037.443359375,171904
2020-05-18,9182.0,9530.0,9182.0,9468.0,9374.0703125,125768
2020-05-19,9600.0,9689.6220703125,9378.0,9400.0,9306.7451171875,204224
2020-05-20,9380.0,9534.0,9268.0,9524.0,9429.5146484375,166160
2020-05-21,9454.0,9786.0,9422.0,9650.0,9554.2646484375,165443
2020-05-22,9626.0,9792.0,9512.0,9732.0,9635.451171875,142741
2020-05-26,9998.0,9998.0,9671.7197265625,9766.0,9669.1142578125,119326
2020-05-27,9766.0,9842.0,9570.0,9710.0,9613.6689453125,191246
2020-05-28,9878.0,10045.0,9746.0,9988.0,9888.912109375,207842
2020-05-29,9756.0,9954.0,9526.0,9870.0,9772.08203125,236392
2020-06-01,9962.0,9962.0,9778.0,9832.0,9734.458984375,78170
2020-06-02,9626.0,9850.0,9626.0,9784.0,9686.9345703125,205931
2020-06-03,9932.0,10025.0,9736.0,9954.0,9855.2490234375,158436
2020-06-04,9950.0,10105.0,9896.0,10025.0,9925.5439453125,152533
2020-06-05,10065.0,10130.0,9880.0,10120.0,10019.6015625,146870
