stock_uniquecode|ftse_industry|ftse_sector
FLTR|Consumer Discretionary|Travel and Leisure
FLTR|Basic Materials|Industrial Metals and Mining
FLTR|Industrials|General Industrials
FLTR|Basic Materials|Industrial Metals and Mining
FLTR|Consumer Discretionary|Media
FLTR|Financials|Banks
FLTR|Consumer Discretionary|Travel and Leisure
FLTR|Technology|Software and Computer Services
FLTR|Consumer Discretionary|Travel and Leisure
FLTR|Industrials|Industrial Transportation
FLTR|Consumer Discretionary|Household Goods and Home Construction
FLTR|Financials|Banks
FLTR|Industrials|General Industrials
FLTR|Basic Materials|Industrial Metals and Mining
FLTR|Basic Materials|Industrial Metals and Mining
FLTR|Financials|Life Insurance
FLTR|Basic Materials|Industrial Metals and Mining
FLTR|Basic Materials|Industrial Metals and Mining
FLTR|Basic Materials|Chemicals
FLTR|Industrials|General Industrials
