stock_code|market_cap
FLTR|26112.25
EVR|9181.21
SMDS|5670.91
RIO|74923.35
WPP|11562.82
LLOY|29779.49
ENT|9746.90
JET|11692.44
IHG|9355.02
AHT|21171.48
TW.|6737.61
NWG|22260.33
SKG|9086.60
GLEN|38973.61
ANTO|17794.71
PRU|39011.73
AAL|42174.87
BHP|46180.45
CRDA|9557.03
SMIN|6462.81
AVST|4908.55
ITRK|9906.31
KGF|7613.15
PSON|5984.64
JMAT|6320.80
OCDO|16617.42
HSBA|84861.07
STJ|7053.34
RTO|9437.97
PSN|10070.48
MNDI|9616.39
AV.|15598.33
HLMA|9927.73
WEIR|5039.07
BRBY|8372.60
BT.A|15317.43
BDEV|7938.86
ICP|5924.18
LGEN|16219.92
SDR|7978.59
LSEG|38901.40
STAN|14933.93
PSH|9.78
ADM|9474.98
AVV|11820.22
CRH|26906.00
MNG|5472.80
III|12023.48
RSA|7078.07
PHNX|7216.49
SN.|13114.29
RMV|5365.66
IMB|14073.09
SMT|17791.56
FERG|20814.85
BNZL|8276.88
MRO|7948.11
EXPN|25419.31
SPX|9043.26
BME|5598.59
REL|37560.93
BARC|31040.06
CCH|9250.64
SGE|7008.40
WTB|6888.74
BKG|5582.39
BLND|4739.22
BATS|62941.22
SVT|5845.49
AUTO|5575.36
RSW|4749.45
VOD|37716.46
GSK|67843.24
ULVR|108627.20
INF|8306.20
NXT|10702.42
RDSA|55908.10
RDSB|48269.34
DGE|77603.35
SLA|5977.36
BA.|16109.90
CPG|28186.06
ABF|18311.42
UU.|6597.95
DCC|6320.00
BP.|60026.42
SSE|15740.15
RR.|8603.56
LAND|5335.65
POLY|7714.53
HL.|8049.19
NG.|32475.11
SGRO|12034.94
AZN|100726.40
TSCO|17469.79
JD.|9521.92
FRES|6695.42
HIK|5623.90
IAG|9965.10
RKT|48503.11
SBRY|5554.80
